Bracket Name,R32-1,R32-2,R32-3,R32-4,R32-5,R32-6,R32-7,R32-8,R32-9,R32-10,R32-11,R32-12,R32-13,R32-14,R32-15,R32-16,R32-17,R32-18,R32-19,R32-20,R32-21,R32-22,R32-23,R32-24,R32-25,R32-26,R32-27,R32-28,R32-29,R32-30,R32-31,R32-32,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13,SS14,SS15,SS16,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,FinalFour1,FinalFour2,FinalFour3,FinalFour4,Finalist1,Finalist2,Champ
Master,1 Duke,9 TCU,5 St. John's,4 Kansas,6 Louisville,3 Michigan St.,7 UCLA,2 UConn,1 Arizona,9 Utah St.,12 High Point,4 Arkansas,11 Texas,3 Gonzaga,7 Miami,2 Purdue,1 Florida,9 Iowa,5 Vanderbilt,4 Nebraska,11 VCU,3 Illinois,10 Texas A&M,2 Houston,1 Michigan,9 Saint Louis,5 Texas Tech,4 Alabama,6 Tennessee,3 Virginia,7 Kentucky,2 Iowa St.,1 Duke,5 St. John's,3 Michigan St.,2 UConn,1 Arizona,4 Arkansas,11 Texas,2 Purdue,9 Iowa,4 Nebraska,3 Illinois,2 Houston,1 Michigan,4 Alabama,6 Tennessee,2 Iowa St.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Points,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,16,16,16,16,32,32,64
Seed,1,9,12,4,6,3,10,2,1,9,12,4,6,3,10,2,1,9,12,13,6,3,10,2,1,9,5,4,11,3,7,2,1,4,3,2,1,4,3,2,1,12,3,2,1,5,3,2,1,2,1,3,1,3,5,2,-1,-1,-1,-1,-1,-1,-1
