Entry,Finishing Position,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,FinalFour1,FinalFour2,FinalFour3,FinalFour4,Finalist1,Finalist2,Champ
KathDog,1.5
Larry G,1.5
I think I'm dying here,1.5
Mrs.bos'bracket,1.5
Not a Bracket,1.5
Three Orange Whips,1.5
Operation Varsity Blues,1.5
NotAWinner,1.5
Anna E.,1.5
2PEAT,1.5
Brexitball,1.5
BuyUsAWinner,1.5
This Year Though...,1.5
wrinkled balls,1.5
Red Raider Quaker,1.5
Bet They Got S.C.M.O.D.S.,1.5
Bulldogs Arf 1,1.5
Tim Apple,1.5
LETS GO BU!,1.5
Danielle Iserlis,1.5
Go SUNY Tech,1.5
Ckillar1,1.5
Gimme the loot,1.5
gsuss,1.5
My Bracket Sucks,1.5
DLee's Wife's Mount Zion,1.5
Julie M,1.5
Dan G.,1.5
AS1's Pool,1.5
Gene's Picks,1.5
Yogi Bear,1.5
Shez 2,1.5
Corliss > Zion,1.5
west coast best coast,1.5
My Toddlers Picks,1.5
Sprinkles,1.5
PapaBias,1.5
Bulldogs Arf #2,1.5
Sydney's College Fund,1.5
qvollmert,1.5
uclakav,1.5
Geoffs winners,1.5
Sprague The Whisperer,1.5
Coach Kroojawoowski,1.5
Disco Pants and Haircuts,1.5
Team ODB2,1.5
cbirn,1.5
Skinnyjam,1.5
Dat Bracket Doe,1.5
Geoff pool 2,1.5
Eric M Entry,1.5
GoDucks,1.5
Todd's Wife,1.5
Team ODB,1.5
YOU ARE UG-LY,1.5
augdiggity,1.5
FeelingLucky2019,1.5
All the Fish,1.5
Sanjita Mamacita,1.5
The Furst,1.5
Jeff Miller,1.5
javiiiiii,1.5
BMahoney,1.5
DLee's Bracket,1.5
Feirman 3,1.5
Boom Boom Room,1.5
Uzo's Winner,1.5
Iron Lion Zion,1.5
MASNYC,1.5
The Devil Wears Nada,1.5
HailTheBison,1.5
Corner Pocket,1.5
BigJohn,1.5
Corndog,1.5
THE CUSE IS LOOSE,1.5
George Barton,1.5
Nova 2 of 3,1.5
TheStable,1.5
Abrams,1.5
cuttin' down the nets,1.5
DSW Sneaker Blowout,1.5
Your Hero,1.5
Where is my money,1.5
Holden It Down.,1.5
Feirman 1,1.5
Rui Gooey,1.5
riz1,1.5
Road to Zion,1.5
Self Defecating,1.5
Random morgy,1.5
TiGo,1.5
bos2,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , , , , , , 
Beilein Or Bust,2
What the Hell,2
Shez1,2
Feirman 2,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky, , , , , , , 
Sara wins!,2
PlayingBlind,2
Zion National Park,2
ThisonesforPnut,2
bos1,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,1 Duke,1 Gonzaga,1 Virginia,5 Auburn,1 Gonzaga,1 Virginia,1 Gonzaga
MiamiGotFucked,2,1 Duke,2 Michigan State,1 Gonzaga,3 Texas Tech,1 Virginia,3 Purdue,5 Auburn,2 Kentucky,2 Michigan State,1 Gonzaga, , ,2 Michigan State, , 
Banana,2
Larry's bracket,2
Kyle Wall,2
